sep=,
model,addActSerial,addActParallel,deleteAct,replaceAct,addConst,removeConst,swapAct,GED
Process101,0,0,2,0,1,0,0,0.47333333333333333
Process101,0,0,2,0,1,0,1,0.44000000000000006
Process101,0,0,2,0,1,0,2,0.3733333333333333
Process101,0,0,2,0,1,0,3,0.4033333333333334
Process101,0,0,2,0,1,1,0,0.4
Process101,0,0,2,0,1,1,1,0.43333333333333335
Process101,0,0,2,0,1,1,2,0.4266666666666667
Process101,0,0,2,0,1,1,3,0.35666666666666663
Process101,0,0,2,0,1,2,0,0.41666666666666674
Process101,0,0,2,0,1,2,1,0.43
Process101,0,0,2,0,1,2,2,0.4
Process101,0,0,2,0,1,2,3,0.39
Process101,0,0,2,0,1,3,0,0.4666666666666667
Process101,0,0,2,0,1,3,1,0.30666666666666664
Process101,0,0,2,0,1,3,2,0.39333333333333337
Process101,0,0,2,0,1,3,3,0.3933333333333333
Process101,0,0,2,0,2,0,0,0.41
Process101,0,0,2,0,2,0,1,0.3733333333333333
Process101,0,0,2,0,2,0,2,0.35333333333333333
Process101,0,0,2,0,2,0,3,0.4233333333333334
Process101,0,0,2,0,2,1,0,0.4566666666666667
Process101,0,0,2,0,2,1,1,0.42
Process101,0,0,2,0,2,1,2,0.40666666666666673
Process101,0,0,2,0,2,1,3,0.43333333333333335
Process101,0,0,2,0,2,2,0,0.3766666666666667
Process101,0,0,2,0,2,2,1,0.42
Process101,0,0,2,0,2,2,2,0.45333333333333337
Process101,0,0,2,0,2,2,3,0.35
Process101,0,0,2,0,2,3,0,0.4233333333333334
Process101,0,0,2,0,2,3,1,0.4533333333333333
Process101,0,0,2,0,2,3,2,0.44666666666666666
Process101,0,0,2,0,2,3,3,0.42333333333333334
Process101,0,0,2,0,3,0,0,0.4533333333333334
Process101,0,0,2,0,3,0,1,0.44666666666666666
Process101,0,0,2,0,3,0,2,0.45000000000000007
Process101,0,0,2,0,3,0,3,0.37333333333333335
Process101,0,0,2,0,3,1,0,0.44666666666666666
Process101,0,0,2,0,3,1,1,0.44666666666666677
Process101,0,0,2,0,3,1,2,0.43000000000000005
Process101,0,0,2,0,3,1,3,0.3433333333333334
Process101,0,0,2,0,3,2,0,0.45000000000000007
Process101,0,0,2,0,3,2,1,0.4066666666666666
Process101,0,0,2,0,3,2,2,0.45
Process101,0,0,2,0,3,2,3,0.42333333333333334
Process101,0,0,2,0,3,3,0,0.40666666666666673
Process101,0,0,2,0,3,3,1,0.43000000000000005
Process101,0,0,2,0,3,3,2,0.45666666666666667
Process101,0,0,2,0,3,3,3,0.4
Process101,0,0,2,1,0,0,0,0.40333333333333343
Process101,0,0,2,1,0,0,1,0.3933333333333333
Process101,0,0,2,1,0,0,2,0.3633333333333334
Process101,0,0,2,1,0,0,3,0.45333333333333337
Process101,0,0,2,1,0,1,0,0.43999999999999995
Process101,0,0,2,1,0,1,1,0.4233333333333333
Process101,0,0,2,1,0,1,2,0.3933333333333333
Process101,0,0,2,1,0,1,3,0.3733333333333333
Process101,0,0,2,1,0,2,0,0.4600000000000001
Process101,0,0,2,1,0,2,1,0.4333333333333334
Process101,0,0,2,1,0,2,2,0.43666666666666676
Process101,0,0,2,1,0,2,3,0.3566666666666667
Process101,0,0,2,1,0,3,0,0.3533333333333334
Process101,0,0,2,1,0,3,1,0.4099999999999999
Process101,0,0,2,1,0,3,2,0.43
Process101,0,0,2,1,0,3,3,0.36333333333333334
Process101,0,0,2,1,1,0,0,0.42000000000000004
Process101,0,0,2,1,1,0,1,0.41333333333333333
Process101,0,0,2,1,1,0,2,0.42666666666666664
Process101,0,0,2,1,1,0,3,0.3466666666666667
Process101,0,0,2,1,1,1,0,0.4333333333333333
Process101,0,0,2,1,1,1,1,0.4333333333333334
Process101,0,0,2,1,1,1,2,0.41000000000000003
Process101,0,0,2,1,1,1,3,0.4033333333333334
Process101,0,0,2,1,1,2,0,0.4266666666666667
Process101,0,0,2,1,1,2,1,0.42666666666666664
Process101,0,0,2,1,1,2,2,0.37999999999999995
Process101,0,0,2,1,1,2,3,0.4033333333333333
Process101,0,0,2,1,1,3,0,0.45333333333333337
Process101,0,0,2,1,1,3,1,0.43333333333333335
Process101,0,0,2,1,1,3,2,0.3833333333333333
Process101,0,0,2,1,1,3,3,0.3633333333333334
Process101,0,0,2,1,2,0,0,0.45666666666666667
Process101,0,0,2,1,2,0,1,0.39
Process101,0,0,2,1,2,0,2,0.32666666666666666
Process101,0,0,2,1,2,0,3,0.32333333333333336
Process101,0,0,2,1,2,1,0,0.4766666666666667
Process101,0,0,2,1,2,1,1,0.41000000000000003
Process101,0,0,2,1,2,1,2,0.3533333333333333
Process101,0,0,2,1,2,1,3,0.40666666666666673
Process101,0,0,2,1,2,2,0,0.41000000000000003
Process101,0,0,2,1,2,2,1,0.46
Process101,0,0,2,1,2,2,2,0.4099999999999999
Process101,0,0,2,1,2,2,3,0.31000000000000005
Process101,0,0,2,1,2,3,0,0.43999999999999995
Process101,0,0,2,1,2,3,1,0.44333333333333336
Process101,0,0,2,1,2,3,2,0.42
Process101,0,0,2,1,2,3,3,0.31
Process101,0,0,2,1,3,0,0,0.45999999999999996
Process101,0,0,2,1,3,0,1,0.45333333333333337
Process101,0,0,2,1,3,0,2,0.4
Process101,0,0,2,1,3,0,3,0.3633333333333333
Process101,0,0,2,1,3,1,0,0.43666666666666665
Process101,0,0,2,1,3,1,1,0.44333333333333336
Process101,0,0,2,1,3,1,2,0.43999999999999995
Process101,0,0,2,1,3,1,3,0.32666666666666666
Process101,0,0,2,1,3,2,0,0.4433333333333333
Process101,0,0,2,1,3,2,1,0.4600000000000001
Process101,0,0,2,1,3,2,2,0.44333333333333336
Process101,0,0,2,1,3,2,3,0.3533333333333334
Process101,0,0,2,1,3,3,0,0.42000000000000004
Process101,0,0,2,1,3,3,1,0.41000000000000003
Process101,0,0,2,1,3,3,2,0.3433333333333334
Process101,0,0,2,1,3,3,3,0.38333333333333336
Process101,0,0,2,2,0,0,0,0.44000000000000006
Process101,0,0,2,2,0,0,1,0.41000000000000003
Process101,0,0,2,2,0,0,2,0.41333333333333333
Process101,0,0,2,2,0,0,3,0.41666666666666663
Process101,0,0,2,2,0,1,0,0.42333333333333334
Process101,0,0,2,2,0,1,1,0.3866666666666666
Process101,0,0,2,2,0,1,2,0.3633333333333334
Process101,0,0,2,2,0,1,3,0.3233333333333333
Process101,0,0,2,2,0,2,0,0.42666666666666664
Process101,0,0,2,2,0,2,1,0.4133333333333334
Process101,0,0,2,2,0,2,2,0.4133333333333334
Process101,0,0,2,2,0,2,3,0.3966666666666667
Process101,0,0,2,2,0,3,0,0.41333333333333333
Process101,0,0,2,2,0,3,1,0.44333333333333336
Process101,0,0,2,2,0,3,2,0.42666666666666664
Process101,0,0,2,2,0,3,3,0.3933333333333333
Process101,0,0,2,2,1,0,0,0.42000000000000004
Process101,0,0,2,2,1,0,1,0.41666666666666674
Process101,0,0,2,2,1,0,2,0.41000000000000003
Process101,0,0,2,2,1,0,3,0.38999999999999996
Process101,0,0,2,2,1,1,0,0.38
Process101,0,0,2,2,1,1,1,0.31666666666666665
Process101,0,0,2,2,1,1,2,0.3766666666666667
Process101,0,0,2,2,1,1,3,0.3433333333333333
Process101,0,0,2,2,1,2,0,0.3666666666666667
Process101,0,0,2,2,1,2,1,0.37
Process101,0,0,2,2,1,2,2,0.3933333333333333
Process101,0,0,2,2,1,2,3,0.28
Process101,0,0,2,2,1,3,0,0.42666666666666664
Process101,0,0,2,2,1,3,1,0.3766666666666666
Process101,0,0,2,2,1,3,2,0.3566666666666667
Process101,0,0,2,2,1,3,3,0.41333333333333333
Process101,0,0,2,2,2,0,0,0.4233333333333333
Process101,0,0,2,2,2,0,1,0.3933333333333333
Process101,0,0,2,2,2,0,2,0.38333333333333336
Process101,0,0,2,2,2,0,3,0.42333333333333334
Process101,0,0,2,2,2,1,0,0.41666666666666663
Process101,0,0,2,2,2,1,1,0.37333333333333335
Process101,0,0,2,2,2,1,2,0.38666666666666666
Process101,0,0,2,2,2,1,3,0.39333333333333337
Process101,0,0,2,2,2,2,0,0.43000000000000005
Process101,0,0,2,2,2,2,1,0.32999999999999996
Process101,0,0,2,2,2,2,2,0.3933333333333334
Process101,0,0,2,2,2,2,3,0.35
Process101,0,0,2,2,2,3,0,0.39666666666666667
Process101,0,0,2,2,2,3,1,0.39333333333333337
Process101,0,0,2,2,2,3,2,0.4133333333333334
Process101,0,0,2,2,2,3,3,0.4033333333333334
Process101,0,0,2,2,3,0,0,0.42999999999999994
Process101,0,0,2,2,3,0,1,0.3400000000000001
Process101,0,0,2,2,3,0,2,0.44666666666666666
Process101,0,0,2,2,3,0,3,0.3333333333333333
Process101,0,0,2,2,3,1,0,0.39
Process101,0,0,2,2,3,1,1,0.4133333333333333
Process101,0,0,2,2,3,1,2,0.39
Process101,0,0,2,2,3,1,3,0.4
Process101,0,0,2,2,3,2,0,0.33000000000000007
Process101,0,0,2,2,3,2,1,0.38666666666666666
Process101,0,0,2,2,3,2,2,0.4633333333333334
Process101,0,0,2,2,3,2,3,0.35
Process101,0,0,2,2,3,3,0,0.4
Process101,0,0,2,2,3,3,1,0.3533333333333333
Process101,0,0,2,2,3,3,2,0.42000000000000004
Process101,0,0,2,2,3,3,3,0.39
Process101,0,0,2,3,0,0,0,0.40666666666666673
Process101,0,0,2,3,0,0,1,0.3633333333333333
Process101,0,0,2,3,0,0,2,0.33666666666666667
Process101,0,0,2,3,0,0,3,0.36
Process101,0,0,2,3,0,1,0,0.4
Process101,0,0,2,3,0,1,1,0.35666666666666663
Process101,0,0,2,3,0,1,2,0.39
Process101,0,0,2,3,0,1,3,0.3133333333333333
Process101,0,0,2,3,0,2,0,0.41666666666666663
Process101,0,0,2,3,0,2,1,0.4
Process101,0,0,2,3,0,2,2,0.42333333333333334
Process101,0,0,2,3,0,2,3,0.39
Process101,0,0,2,3,0,3,0,0.44333333333333336
Process101,0,0,2,3,0,3,1,0.3833333333333333
Process101,0,0,2,3,0,3,2,0.4033333333333333
Process101,0,0,2,3,0,3,3,0.4
Process101,0,0,2,3,1,0,0,0.41333333333333333
Process101,0,0,2,3,1,0,1,0.3533333333333333
Process101,0,0,2,3,1,0,2,0.4
Process101,0,0,2,3,1,0,3,0.3766666666666667
Process101,0,0,2,3,1,1,0,0.4
Process101,0,0,2,3,1,1,1,0.36666666666666664
Process101,0,0,2,3,1,1,2,0.3466666666666666
Process101,0,0,2,3,1,1,3,0.3866666666666667
Process101,0,0,2,3,1,2,0,0.41000000000000003
Process101,0,0,2,3,1,2,1,0.4
Process101,0,0,2,3,1,2,2,0.4033333333333333
Process101,0,0,2,3,1,2,3,0.2533333333333333
Process101,0,0,2,3,1,3,0,0.47
Process101,0,0,2,3,1,3,1,0.4033333333333333
Process101,0,0,2,3,1,3,2,0.41666666666666674
Process101,0,0,2,3,1,3,3,0.40666666666666673
Process101,0,0,2,3,2,0,0,0.4133333333333334
Process101,0,0,2,3,2,0,1,0.43000000000000005
Process101,0,0,2,3,2,0,2,0.31333333333333335
Process101,0,0,2,3,2,0,3,0.4066666666666667
Process101,0,0,2,3,2,1,0,0.3966666666666667
Process101,0,0,2,3,2,1,1,0.39
Process101,0,0,2,3,2,1,2,0.2733333333333333
Process101,0,0,2,3,2,1,3,0.3166666666666667
Process101,0,0,2,3,2,2,0,0.42666666666666664
Process101,0,0,2,3,2,2,1,0.40666666666666673
Process101,0,0,2,3,2,2,2,0.3833333333333333
Process101,0,0,2,3,2,2,3,0.34333333333333327
Process101,0,0,2,3,2,3,0,0.41000000000000003
Process101,0,0,2,3,2,3,1,0.4
Process101,0,0,2,3,2,3,2,0.4066666666666667
Process101,0,0,2,3,2,3,3,0.29333333333333333
Process101,0,0,2,3,3,0,0,0.4066666666666667
Process101,0,0,2,3,3,0,1,0.3733333333333333
Process101,0,0,2,3,3,0,2,0.3933333333333333
Process101,0,0,2,3,3,0,3,0.33
Process101,0,0,2,3,3,1,0,0.44666666666666666
Process101,0,0,2,3,3,1,1,0.3433333333333333
Process101,0,0,2,3,3,1,2,0.42666666666666664
Process101,0,0,2,3,3,1,3,0.4233333333333334
Process101,0,0,2,3,3,2,0,0.3833333333333333
Process101,0,0,2,3,3,2,1,0.38000000000000006
Process101,0,0,2,3,3,2,2,0.38
Process101,0,0,2,3,3,2,3,0.33
Process101,0,0,2,3,3,3,0,0.43333333333333335
Process101,0,0,2,3,3,3,1,0.3433333333333333
Process101,0,0,2,3,3,3,2,0.39
Process101,0,0,2,3,3,3,3,0.38666666666666666
Process101,0,0,3,0,0,0,0,0.4433333333333333
Process101,0,0,3,0,0,0,1,0.44
Process101,0,0,3,0,0,0,2,0.3833333333333333
Process101,0,0,3,0,0,0,3,0.3933333333333333
Process101,0,0,3,0,0,1,0,0.41666666666666674
Process101,0,0,3,0,0,1,1,0.4466666666666667
Process101,0,0,3,0,0,1,2,0.41333333333333333
Process101,0,0,3,0,0,1,3,0.33666666666666667
Process101,0,0,3,0,0,2,0,0.44333333333333336
Process101,0,0,3,0,0,2,1,0.43666666666666665
Process101,0,0,3,0,0,2,2,0.35000000000000003
Process101,0,0,3,0,0,2,3,0.3733333333333333
Process101,0,0,3,0,0,3,0,0.43333333333333335
Process101,0,0,3,0,0,3,1,0.4433333333333333
Process101,0,0,3,0,0,3,2,0.4333333333333334
Process101,0,0,3,0,0,3,3,0.37
Process101,0,0,3,0,1,0,0,0.3533333333333334
Process101,0,0,3,0,1,0,1,0.42666666666666675
Process101,0,0,3,0,1,0,2,0.42000000000000004
Process101,0,0,3,0,1,0,3,0.40666666666666673
Process101,0,0,3,0,1,1,0,0.45999999999999996
Process101,0,0,3,0,1,1,1,0.44333333333333336
Process101,0,0,3,0,1,1,2,0.42000000000000004
Process101,0,0,3,0,1,1,3,0.41666666666666674
Process101,0,0,3,0,1,2,0,0.45000000000000007
Process101,0,0,3,0,1,2,1,0.41666666666666674
Process101,0,0,3,0,1,2,2,0.43333333333333335
Process101,0,0,3,0,1,2,3,0.42000000000000004
Process101,0,0,3,0,1,3,0,0.43333333333333335
Process101,0,0,3,0,1,3,1,0.42000000000000004
Process101,0,0,3,0,1,3,2,0.39666666666666667
Process101,0,0,3,0,1,3,3,0.43666666666666665
Process101,0,0,3,0,2,0,0,0.42000000000000004
Process101,0,0,3,0,2,0,1,0.4600000000000001
Process101,0,0,3,0,2,0,2,0.3533333333333334
Process101,0,0,3,0,2,0,3,0.44000000000000006
Process101,0,0,3,0,2,1,0,0.3466666666666667
Process101,0,0,3,0,2,1,1,0.44333333333333336
Process101,0,0,3,0,2,1,2,0.31333333333333335
Process101,0,0,3,0,2,1,3,0.33666666666666667
Process101,0,0,3,0,2,2,0,0.44666666666666666
Process101,0,0,3,0,2,2,1,0.44999999999999996
Process101,0,0,3,0,2,2,2,0.42666666666666664
Process101,0,0,3,0,2,2,3,0.44333333333333336
Process101,0,0,3,0,2,3,0,0.48333333333333334
Process101,0,0,3,0,2,3,1,0.43000000000000005
Process101,0,0,3,0,2,3,2,0.27
Process101,0,0,3,0,2,3,3,0.4133333333333334
Process101,0,0,3,0,3,0,0,0.44333333333333336
Process101,0,0,3,0,3,0,1,0.42666666666666664
Process101,0,0,3,0,3,0,2,0.43333333333333335
Process101,0,0,3,0,3,0,3,0.3433333333333334
Process101,0,0,3,0,3,1,0,0.4700000000000001
Process101,0,0,3,0,3,1,1,0.3966666666666667
Process101,0,0,3,0,3,1,2,0.4
Process101,0,0,3,0,3,1,3,0.3966666666666667
Process101,0,0,3,0,3,2,0,0.43000000000000005
Process101,0,0,3,0,3,2,1,0.42666666666666664
Process101,0,0,3,0,3,2,2,0.40666666666666673
Process101,0,0,3,0,3,2,3,0.41999999999999993
Process101,0,0,3,0,3,3,0,0.4466666666666667
Process101,0,0,3,0,3,3,1,0.4600000000000001
Process101,0,0,3,0,3,3,2,0.41000000000000003
Process101,0,0,3,0,3,3,3,0.3733333333333333
Process101,0,0,3,1,0,0,0,0.3966666666666666
Process101,0,0,3,1,0,0,1,0.3866666666666667
Process101,0,0,3,1,0,0,2,0.37666666666666665
Process101,0,0,3,1,0,0,3,0.3999999999999999
Process101,0,0,3,1,0,1,0,0.3933333333333334
Process101,0,0,3,1,0,1,1,0.31
Process101,0,0,3,1,0,1,2,0.3866666666666667
Process101,0,0,3,1,0,1,3,0.4
Process101,0,0,3,1,0,2,0,0.3633333333333333
Process101,0,0,3,1,0,2,1,0.36
Process101,0,0,3,1,0,2,2,0.37999999999999995
Process101,0,0,3,1,0,2,3,0.23333333333333334
Process101,0,0,3,1,0,3,0,0.42666666666666664
Process101,0,0,3,1,0,3,1,0.4033333333333333
Process101,0,0,3,1,0,3,2,0.41000000000000003
Process101,0,0,3,1,0,3,3,0.4266666666666667
Process101,0,0,3,1,1,0,0,0.44666666666666666
Process101,0,0,3,1,1,0,1,0.39
Process101,0,0,3,1,1,0,2,0.33666666666666667
Process101,0,0,3,1,1,0,3,0.3833333333333333
Process101,0,0,3,1,1,1,0,0.39333333333333337
Process101,0,0,3,1,1,1,1,0.3933333333333333
Process101,0,0,3,1,1,1,2,0.37
Process101,0,0,3,1,1,1,3,0.4033333333333333
Process101,0,0,3,1,1,2,0,0.4066666666666666
Process101,0,0,3,1,1,2,1,0.42000000000000004
Process101,0,0,3,1,1,2,2,0.42999999999999994
Process101,0,0,3,1,1,2,3,0.3933333333333334
Process101,0,0,3,1,1,3,0,0.4600000000000001
Process101,0,0,3,1,1,3,1,0.30333333333333334
Process101,0,0,3,1,1,3,2,0.2833333333333333
Process101,0,0,3,1,1,3,3,0.32666666666666666
Process101,0,0,3,1,2,0,0,0.43666666666666665
Process101,0,0,3,1,2,0,1,0.3966666666666667
Process101,0,0,3,1,2,0,2,0.45000000000000007
Process101,0,0,3,1,2,0,3,0.39999999999999997
Process101,0,0,3,1,2,1,0,0.4533333333333334
Process101,0,0,3,1,2,1,1,0.45999999999999996
Process101,0,0,3,1,2,1,2,0.42
Process101,0,0,3,1,2,1,3,0.3166666666666667
Process101,0,0,3,1,2,2,0,0.45666666666666667
Process101,0,0,3,1,2,2,1,0.41666666666666663
Process101,0,0,3,1,2,2,2,0.4033333333333333
Process101,0,0,3,1,2,2,3,0.4033333333333333
Process101,0,0,3,1,2,3,0,0.43000000000000005
Process101,0,0,3,1,2,3,1,0.41333333333333333
Process101,0,0,3,1,2,3,2,0.33666666666666667
Process101,0,0,3,1,2,3,3,0.4033333333333334
Process101,0,0,3,1,3,0,0,0.41666666666666674
Process101,0,0,3,1,3,0,1,0.41666666666666663
Process101,0,0,3,1,3,0,2,0.4
Process101,0,0,3,1,3,0,3,0.42333333333333334
Process101,0,0,3,1,3,1,0,0.43666666666666665
Process101,0,0,3,1,3,1,1,0.41666666666666674
Process101,0,0,3,1,3,1,2,0.3666666666666667
Process101,0,0,3,1,3,1,3,0.33333333333333337
Process101,0,0,3,1,3,2,0,0.39
Process101,0,0,3,1,3,2,1,0.45666666666666667
Process101,0,0,3,1,3,2,2,0.3466666666666667
Process101,0,0,3,1,3,2,3,0.30333333333333334
Process101,0,0,3,1,3,3,0,0.42000000000000004
Process101,0,0,3,1,3,3,1,0.4099999999999999
Process101,0,0,3,1,3,3,2,0.43999999999999995
Process101,0,0,3,1,3,3,3,0.32666666666666666
Process101,0,0,3,2,0,0,0,0.45000000000000007
Process101,0,0,3,2,0,0,1,0.41000000000000003
Process101,0,0,3,2,0,0,2,0.4066666666666667
Process101,0,0,3,2,0,0,3,0.29333333333333333
Process101,0,0,3,2,0,1,0,0.42000000000000004
Process101,0,0,3,2,0,1,1,0.45333333333333337
Process101,0,0,3,2,0,1,2,0.4333333333333334
Process101,0,0,3,2,0,1,3,0.4
Process101,0,0,3,2,0,2,0,0.44000000000000006
Process101,0,0,3,2,0,2,1,0.4133333333333333
Process101,0,0,3,2,0,2,2,0.37
Process101,0,0,3,2,0,2,3,0.38
Process101,0,0,3,2,0,3,0,0.46333333333333343
Process101,0,0,3,2,0,3,1,0.41666666666666674
Process101,0,0,3,2,0,3,2,0.42000000000000004
Process101,0,0,3,2,0,3,3,0.3566666666666667
Process101,0,0,3,2,1,0,0,0.4066666666666666
Process101,0,0,3,2,1,0,1,0.3666666666666667
Process101,0,0,3,2,1,0,2,0.4
Process101,0,0,3,2,1,0,3,0.3800000000000001
Process101,0,0,3,2,1,1,0,0.4
Process101,0,0,3,2,1,1,1,0.3933333333333333
Process101,0,0,3,2,1,1,2,0.42333333333333334
Process101,0,0,3,2,1,1,3,0.3666666666666667
Process101,0,0,3,2,1,2,0,0.3766666666666667
Process101,0,0,3,2,1,2,1,0.4033333333333334
Process101,0,0,3,2,1,2,2,0.35
Process101,0,0,3,2,1,2,3,0.3766666666666667
Process101,0,0,3,2,1,3,0,0.4233333333333333
Process101,0,0,3,2,1,3,1,0.38
Process101,0,0,3,2,1,3,2,0.37666666666666665
Process101,0,0,3,2,1,3,3,0.31666666666666665
Process101,0,0,3,2,2,0,0,0.3666666666666667
Process101,0,0,3,2,2,0,1,0.4133333333333334
Process101,0,0,3,2,2,0,2,0.37
Process101,0,0,3,2,2,0,3,0.31
Process101,0,0,3,2,2,1,0,0.4
Process101,0,0,3,2,2,1,1,0.4333333333333333
Process101,0,0,3,2,2,1,2,0.4033333333333333
Process101,0,0,3,2,2,1,3,0.41666666666666663
Process101,0,0,3,2,2,2,0,0.4333333333333333
Process101,0,0,3,2,2,2,1,0.43000000000000005
Process101,0,0,3,2,2,2,2,0.39333333333333337
Process101,0,0,3,2,2,2,3,0.3566666666666667
Process101,0,0,3,2,2,3,0,0.42333333333333334
Process101,0,0,3,2,2,3,1,0.3833333333333333
Process101,0,0,3,2,2,3,2,0.43666666666666676
Process101,0,0,3,2,2,3,3,0.38
Process101,0,0,3,2,3,0,0,0.41333333333333333
Process101,0,0,3,2,3,0,1,0.41666666666666663
Process101,0,0,3,2,3,0,2,0.35
Process101,0,0,3,2,3,0,3,0.41666666666666674
Process101,0,0,3,2,3,1,0,0.43666666666666665
Process101,0,0,3,2,3,1,1,0.33000000000000007
Process101,0,0,3,2,3,1,2,0.3566666666666667
Process101,0,0,3,2,3,1,3,0.3766666666666667
Process101,0,0,3,2,3,2,0,0.42666666666666664
Process101,0,0,3,2,3,2,1,0.31999999999999995
Process101,0,0,3,2,3,2,2,0.3466666666666667
Process101,0,0,3,2,3,2,3,0.4
Process101,0,0,3,2,3,3,0,0.4433333333333333
Process101,0,0,3,2,3,3,1,0.39
Process101,0,0,3,2,3,3,2,0.3666666666666667
Process101,0,0,3,2,3,3,3,0.26666666666666666
Process101,0,0,3,3,0,0,0,0.37
Process101,0,0,3,3,0,0,1,0.43000000000000005
Process101,0,0,3,3,0,0,2,0.38666666666666666
Process101,0,0,3,3,0,0,3,0.41333333333333333
Process101,0,0,3,3,0,1,0,0.37333333333333335
Process101,0,0,3,3,0,1,1,0.3733333333333333
Process101,0,0,3,3,0,1,2,0.3766666666666667
Process101,0,0,3,3,0,1,3,0.32000000000000006
Process101,0,0,3,3,0,2,0,0.4
Process101,0,0,3,3,0,2,1,0.3933333333333333
Process101,0,0,3,3,0,2,2,0.4133333333333333
Process101,0,0,3,3,0,2,3,0.37
Process101,0,0,3,3,0,3,0,0.4
Process101,0,0,3,3,0,3,1,0.38000000000000006
Process101,0,0,3,3,0,3,2,0.41999999999999993
Process101,0,0,3,3,0,3,3,0.2833333333333333
Process101,0,0,3,3,1,0,0,0.38333333333333336
Process101,0,0,3,3,1,0,1,0.4533333333333334
Process101,0,0,3,3,1,0,2,0.36
Process101,0,0,3,3,1,0,3,0.33666666666666667
Process101,0,0,3,3,1,1,0,0.43666666666666665
Process101,0,0,3,3,1,1,1,0.33333333333333337
Process101,0,0,3,3,1,1,2,0.31
Process101,0,0,3,3,1,1,3,0.3466666666666667
Process101,0,0,3,3,1,2,0,0.2766666666666666
Process101,0,0,3,3,1,2,1,0.3833333333333333
Process101,0,0,3,3,1,2,2,0.33000000000000007
Process101,0,0,3,3,1,2,3,0.3333333333333333
Process101,0,0,3,3,1,3,0,0.4
Process101,0,0,3,3,1,3,1,0.4
Process101,0,0,3,3,1,3,2,0.38
Process101,0,0,3,3,1,3,3,0.32666666666666666
Process101,0,0,3,3,2,0,0,0.42999999999999994
Process101,0,0,3,3,2,0,1,0.32333333333333336
Process101,0,0,3,3,2,0,2,0.39333333333333337
Process101,0,0,3,3,2,0,3,0.3633333333333334
Process101,0,0,3,3,2,1,0,0.32999999999999996
Process101,0,0,3,3,2,1,1,0.43999999999999995
Process101,0,0,3,3,2,1,2,0.35000000000000003
Process101,0,0,3,3,2,1,3,0.3633333333333334
Process101,0,0,3,3,2,2,0,0.23333333333333334
Process101,0,0,3,3,2,2,1,0.3933333333333333
Process101,0,0,3,3,2,2,2,0.36666666666666664
Process101,0,0,3,3,2,2,3,0.39
Process101,0,0,3,3,2,3,0,0.44000000000000006
Process101,0,0,3,3,2,3,1,0.4133333333333334
Process101,0,0,3,3,2,3,2,0.36
Process101,0,0,3,3,2,3,3,0.36
Process101,0,0,3,3,3,0,0,0.3566666666666667
Process101,0,0,3,3,3,0,1,0.3966666666666666
Process101,0,0,3,3,3,0,2,0.32333333333333336
Process101,0,0,3,3,3,0,3,0.3666666666666667
Process101,0,0,3,3,3,1,0,0.41666666666666663
Process101,0,0,3,3,3,1,1,0.4133333333333334
Process101,0,0,3,3,3,1,2,0.33333333333333337
Process101,0,0,3,3,3,1,3,0.30333333333333334
Process101,0,0,3,3,3,2,0,0.41666666666666674
Process101,0,0,3,3,3,2,1,0.3466666666666666
Process101,0,0,3,3,3,2,2,0.33333333333333337
Process101,0,0,3,3,3,2,3,0.3966666666666666
Process101,0,0,3,3,3,3,0,0.4233333333333334
Process101,0,0,3,3,3,3,1,0.4033333333333334
Process101,0,0,3,3,3,3,2,0.3666666666666667
Process101,0,0,3,3,3,3,3,0.27666666666666667
Process101,0,1,0,0,0,0,0,0.4666666666666667
Process101,0,1,0,0,0,0,1,0.45666666666666667
Process101,0,1,0,0,0,0,2,0.3933333333333333
Process101,0,1,0,0,0,0,3,0.4
Process101,0,1,0,0,0,1,0,0.45000000000000007
Process101,0,1,0,0,0,1,1,0.40666666666666673
Process101,0,1,0,0,0,1,2,0.45666666666666667
Process101,0,1,0,0,0,1,3,0.45333333333333337
Process101,0,1,0,0,0,2,0,0.43999999999999995
Process101,0,1,0,0,0,2,1,0.42333333333333334
Process101,0,1,0,0,0,2,2,0.3566666666666667
Process101,0,1,0,0,0,2,3,0.4433333333333333
Process101,0,1,0,0,0,3,0,0.43333333333333324
Process101,0,1,0,0,0,3,1,0.45000000000000007
Process101,0,1,0,0,0,3,2,0.38666666666666666
Process101,0,1,0,0,0,3,3,0.40666666666666673
Process101,0,1,0,0,1,0,0,0.4666666666666667
Process101,0,1,0,0,1,0,1,0.42333333333333334
Process101,0,1,0,0,1,0,2,0.4133333333333334
Process101,0,1,0,0,1,0,3,0.4033333333333333
Process101,0,1,0,0,1,1,0,0.4366666666666667
Process101,0,1,0,0,1,1,1,0.48
Process101,0,1,0,0,1,1,2,0.48000000000000004
Process101,0,1,0,0,1,1,3,0.45999999999999996
Process101,0,1,0,0,1,2,0,0.45000000000000007
Process101,0,1,0,0,1,2,1,0.4066666666666667
Process101,0,1,0,0,1,2,2,0.3933333333333334
Process101,0,1,0,0,1,2,3,0.44666666666666666
Process101,0,1,0,0,1,3,0,0.45666666666666667
Process101,0,1,0,0,1,3,1,0.44333333333333336
Process101,0,1,0,0,1,3,2,0.43333333333333335
Process101,0,1,0,0,1,3,3,0.40666666666666673
Process101,0,1,0,0,2,0,0,0.45999999999999996
Process101,0,1,0,0,2,0,1,0.42666666666666675
Process101,0,1,0,0,2,0,2,0.43000000000000005
